schema_version,run_id,ts_start,ts_end,block,scenario,mode,rep,is_warmup,side_experiment,harness_git_sha,harness_git_dirty,llamacpp_tag,llamacpp_sha,model_name,model_sha256,doc_label,doc_tokens,question_id,full_prompt_tokens,new_input_tokens,ctx_size,n_slots,ngl,cache_type_k,cache_type_v,flash_attn,swa_full,cache_reuse_n,cache_ram_mib,seed,temperature,top_k,n_predict,client_ttft_s,client_total_s,server_prompt_n,server_prompt_ms,server_predicted_n,server_predicted_ms,server_prompt_tok_s,server_predicted_tok_s,tokens_cached,tokens_evaluated,server_timings_json,reuse_assert,reuse_bool,probe_result,probe_baseline_sha,probe_restored_sha,save_point,page_cache_state,save_file,save_bytes,save_ms,n_saved,restore_ms,restore_bytes,n_restored,save_build_tag,restore_build_tag,save_flags_json,outcome,kv_total_mib,kv_k_type,kv_v_type,compute_buffer_mtl_mib,model_buffer_mtl_mib,projected_device_mib,rss_peak_mb,rss_mean_mb,rss_n,free_disk_gb_start,gen_content_sha256,gen_tokens_sha256,server_log,verbosity,resume_total_ms
1.1,20260704T233354_blockA_64k,2026-07-04T23:49:30,2026-07-04T23:49:30,A,blockA,cold,1,0,0,655445679c5451ae2f2561819aa6d7200e880c37,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,64k,65536,q1,65563,27,66560,1,99,f16,f16,on,0,,0,42,0,1,64,466.1251,471.0823,65564,466083.65,64,4952.081,140.67002779436694,12.923859686463125,65627,65564,"{""cache_n"":0,""prompt_n"":65564,""prompt_ms"":466083.65,""prompt_per_token_ms"":7.108834878896956,""prompt_per_second"":140.67002779436694,""predicted_n"":64,""predicted_ms"":4952.081,""predicted_per_token_ms"":77.376265625,""predicted_per_second"":12.923859686463125}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,8320.0,f16,f16,165.01,0.0,12888,13272.0,13260.8,4618,225.3,8d9be5e420023b89f8abcab4bb29c1e8ecc98ca8a5c033babb983323837b9f3d,d498036c6ce7fadfc617f89e8f8bcc782f1e0e6142db708c2f24042f7a4329df,results/raw/20260704T233354_blockA_64k_cold.log,default(timed)/5(profile),
1.1,20260704T233354_blockA_64k,2026-07-04T23:57:08,2026-07-04T23:57:08,A,blockA,cold,2,0,0,655445679c5451ae2f2561819aa6d7200e880c37,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,64k,65536,q1,65563,27,66560,1,99,f16,f16,on,0,,0,42,0,1,64,453.3231,458.1791,65564,453305.005,64,4850.789,144.63550871228523,13.193729927234518,65627,65564,"{""cache_n"":0,""prompt_n"":65564,""prompt_ms"":453305.005,""prompt_per_token_ms"":6.913931502043805,""prompt_per_second"":144.63550871228523,""predicted_n"":64,""predicted_ms"":4850.789,""predicted_per_token_ms"":75.793578125,""predicted_per_second"":13.193729927234518}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,8320.0,f16,f16,165.01,0.0,12888,13272.0,13260.8,4618,225.3,8d9be5e420023b89f8abcab4bb29c1e8ecc98ca8a5c033babb983323837b9f3d,d498036c6ce7fadfc617f89e8f8bcc782f1e0e6142db708c2f24042f7a4329df,results/raw/20260704T233354_blockA_64k_cold.log,default(timed)/5(profile),
1.1,20260704T233354_blockA_64k,2026-07-05T00:04:50,2026-07-05T00:04:50,A,blockA,cold,3,0,0,655445679c5451ae2f2561819aa6d7200e880c37,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,64k,65536,q1,65563,27,66560,1,99,f16,f16,on,0,,0,42,0,1,64,457.1318,462.1886,65564,457097.169,64,5052.014,143.43558535581303,12.668215092040521,65627,65564,"{""cache_n"":0,""prompt_n"":65564,""prompt_ms"":457097.169,""prompt_per_token_ms"":6.971770621072539,""prompt_per_second"":143.43558535581303,""predicted_n"":64,""predicted_ms"":5052.014,""predicted_per_token_ms"":78.93771875,""predicted_per_second"":12.668215092040521}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,8320.0,f16,f16,165.01,0.0,12888,13272.0,13260.8,4618,225.3,8d9be5e420023b89f8abcab4bb29c1e8ecc98ca8a5c033babb983323837b9f3d,d498036c6ce7fadfc617f89e8f8bcc782f1e0e6142db708c2f24042f7a4329df,results/raw/20260704T233354_blockA_64k_cold.log,default(timed)/5(profile),
1.1,20260704T233354_blockA_64k,2026-07-05T00:12:43,2026-07-05T00:12:43,A,blockA,cold,4,0,0,655445679c5451ae2f2561819aa6d7200e880c37,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,64k,65536,q1,65563,27,66560,1,99,f16,f16,on,0,,0,42,0,1,64,467.5148,472.3942,65564,467481.838,64,4874.268,140.2492988401402,13.13017667473352,65627,65564,"{""cache_n"":0,""prompt_n"":65564,""prompt_ms"":467481.838,""prompt_per_token_ms"":7.130160423403087,""prompt_per_second"":140.2492988401402,""predicted_n"":64,""predicted_ms"":4874.268,""predicted_per_token_ms"":76.1604375,""predicted_per_second"":13.13017667473352}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,8320.0,f16,f16,165.01,0.0,12888,13272.0,13260.8,4618,225.4,8d9be5e420023b89f8abcab4bb29c1e8ecc98ca8a5c033babb983323837b9f3d,d498036c6ce7fadfc617f89e8f8bcc782f1e0e6142db708c2f24042f7a4329df,results/raw/20260704T233354_blockA_64k_cold.log,default(timed)/5(profile),
1.1,20260704T233354_blockA_64k,2026-07-05T00:20:11,2026-07-05T00:20:11,A,blockA,cold,5,0,0,655445679c5451ae2f2561819aa6d7200e880c37,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,64k,65536,q1,65563,27,66560,1,99,f16,f16,on,0,,0,42,0,1,64,443.0742,447.9321,65564,443020.032,64,4853.14,147.99330789628942,13.187338506616333,65627,65564,"{""cache_n"":0,""prompt_n"":65564,""prompt_ms"":443020.032,""prompt_per_token_ms"":6.757062290281252,""prompt_per_second"":147.99330789628942,""predicted_n"":64,""predicted_ms"":4853.14,""predicted_per_token_ms"":75.8303125,""predicted_per_second"":13.187338506616333}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,8320.0,f16,f16,165.01,0.0,12888,13272.0,13260.8,4618,225.4,8d9be5e420023b89f8abcab4bb29c1e8ecc98ca8a5c033babb983323837b9f3d,d498036c6ce7fadfc617f89e8f8bcc782f1e0e6142db708c2f24042f7a4329df,results/raw/20260704T233354_blockA_64k_cold.log,default(timed)/5(profile),
1.1,20260704T233354_blockA_64k,2026-07-05T00:28:06,2026-07-05T00:28:06,A,blockA,cold_baseline,1,0,0,655445679c5451ae2f2561819aa6d7200e880c37,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,64k,65536,q2,65569,33,66560,1,99,f16,f16,on,0,,0,42,0,1,64,470.4139,475.4036,65570,470378.97,64,4984.547,139.3982388285769,12.839682322184945,65633,65570,"{""cache_n"":0,""prompt_n"":65570,""prompt_ms"":470378.97,""prompt_per_token_ms"":7.173691779777337,""prompt_per_second"":139.3982388285769,""predicted_n"":64,""predicted_ms"":4984.547,""predicted_per_token_ms"":77.883546875,""predicted_per_second"":12.839682322184945}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,8320.0,f16,f16,165.01,0.0,12888,13272.0,13260.8,4618,225.4,71ea0373a7cd9a4a94bf42f5607d60b58953f462b6f3eb085c1b28bb38712fdf,34235f16eb8b30e5591be5461bf5e64bacd5025ed141ef065a09550993994b5d,results/raw/20260704T233354_blockA_64k_cold.log,default(timed)/5(profile),
1.1,20260704T233354_blockA_64k,2026-07-05T00:36:13,2026-07-05T00:36:13,A,blockA,cold_baseline,1,0,0,655445679c5451ae2f2561819aa6d7200e880c37,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,64k,65536,q3,65565,29,66560,1,99,f16,f16,on,0,,0,42,0,1,64,483.3235,486.578,65566,483281.519,44,3248.882,135.668337029871,13.54312037186946,65609,65566,"{""cache_n"":0,""prompt_n"":65566,""prompt_ms"":483281.519,""prompt_per_token_ms"":7.370916618369276,""prompt_per_second"":135.668337029871,""predicted_n"":44,""predicted_ms"":3248.882,""predicted_per_token_ms"":73.83822727272728,""predicted_per_second"":13.54312037186946}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,8320.0,f16,f16,165.01,0.0,12888,13272.0,13260.8,4618,225.4,a43c39b88fd66e6cb974851ad1991c0fbbaa5e54e900694da976fbf826c79fbd,37bdfa324c466db5247930e4eaf1d2cc75de0b6d578df9488b5908d2a74e3354,results/raw/20260704T233354_blockA_64k_cold.log,default(timed)/5(profile),
1.1,20260704T233354_blockA_64k,2026-07-05T00:43:46,2026-07-05T00:43:46,A,blockA,cold_baseline,1,0,0,655445679c5451ae2f2561819aa6d7200e880c37,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,64k,65536,q4,65566,30,66560,1,99,f16,f16,on,0,,0,42,0,1,64,448.0662,453.112,65567,448028.638,64,5040.791,146.34555570530296,12.696420065819035,65630,65567,"{""cache_n"":0,""prompt_n"":65567,""prompt_ms"":448028.638,""prompt_per_token_ms"":6.833142251437461,""prompt_per_second"":146.34555570530296,""predicted_n"":64,""predicted_ms"":5040.791,""predicted_per_token_ms"":78.762359375,""predicted_per_second"":12.696420065819035}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,8320.0,f16,f16,165.01,0.0,12888,13272.0,13260.8,4618,225.4,b9d2b4e3b3c3294b7df1dc0892a6ea2bd8534f354576680b3927dcb55a7f8bd1,22cd30e8700643cc89c0b1c35b2e89ab06cb8c4504a4b9cb52aa9da591d34ecf,results/raw/20260704T233354_blockA_64k_cold.log,default(timed)/5(profile),
1.1,20260704T233354_blockA_64k,2026-07-05T00:51:33,2026-07-05T00:51:33,A,blockA,cold_baseline,1,0,0,655445679c5451ae2f2561819aa6d7200e880c37,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,64k,65536,q5,65564,28,66560,1,99,f16,f16,on,0,,0,42,0,1,64,463.7392,466.6538,65565,463712.588,39,2909.393,141.39146035000456,13.404857989278176,65603,65565,"{""cache_n"":0,""prompt_n"":65565,""prompt_ms"":463712.588,""prompt_per_token_ms"":7.072562922290857,""prompt_per_second"":141.39146035000456,""predicted_n"":39,""predicted_ms"":2909.393,""predicted_per_token_ms"":74.59982051282051,""predicted_per_second"":13.404857989278176}",,,,,,doc_prefill,n/a,,,,,,,,b9871,b9871,,,8320.0,f16,f16,165.01,0.0,12888,13272.0,13260.8,4618,225.4,cac8f41b49b354ac15f96fe7bd851d2a3f8c0eaf71d6343f24500aff3d670f32,10644eca88d156e280181a62ec9557749b9405cef35605cd6e078907708f16ad,results/raw/20260704T233354_blockA_64k_cold.log,default(timed)/5(profile),
1.1,20260704T233354_blockA_64k,2026-07-05T00:59:02,2026-07-05T00:59:02,A,blockA,prefix_reuse,1,0,0,655445679c5451ae2f2561819aa6d7200e880c37,1,b9871,ef2d770117db45b05aa7ecd1b0acca36370c5470,Llama-3.1-8B-Instruct-Q4_K_M,7b064f5842bf9532c91456deda288a1b672397a54fa729aa665952863033557c,64k,65536,q1,65563,27,66560,1,99,f16,f16,on,0,256,0,42,0,1,64,0.11,4.9685,1,72.452,64,4853.99,13.802241484017005,13.185029223381179,65627,65564,"{""cache_n"":65563,""prompt_n"":1,""prompt_ms"":72.452,""prompt_per_token_ms"":72.452,""prompt_per_second"":13.802241484017005,""predicted_n"":64,""predicted_ms"":4853.99,""predicted_per_token_ms"":75.84359375,""predicted_per_second"":13.185029223381179}",PASS,True,PASS,d498036c6ce7fadfc617f89e8f8bcc782f1e0e6142db708c2f24042f7a4329df,d498036c6ce7fadfc617f89e8f8bcc782f1e0e6142db708c2f24042f7a4329df,doc_prefill,n/a,,,,,,,,b9871,b9871,,WORKS,8320.0,f16,f16,165.01,0.0,12888,13302.0,13240.9,463,225.4,8d9be5e420023b89f8abcab4bb29c1e8ecc98ca8a5c033babb983323837b9f3d,d498036c6ce7fadfc617f89e8f8bcc782f1e0e6142db708c2f24042f7a4329df,results/raw/20260704T233354_blockA_64k_prefix.log,default(timed)/5(profile),
